Run, EffCap, Vbias, Sigma, EarlyPulse, LatePulse
10864,  5, 200, 3.71906e-02, 0, 0 
10865,  5,   0, 5.63363e-02, 0, 0
10866,  7, 200, 2.74725e-02, 0, 1
10867,  7,   0, 3.47109e-02, 0, 1
10868, 12, 200, 1.31599e-02, 0, 1
10869, 12,   0, 1.66183e-02, 1, 1
10870, 17, 200, 1.05286e-02, 1, 1
10871, 17,   0, 1.31272e-02, 1, 1
10872, 20, 200, 8.49101e-03, 1, 1
10873, 20,   0, 9.75187e-03, 1, 1
10874, 27, 200, 8.08565e-03, 1, 1
10875, 27,   0, 8.95655e-03, 1, 1
10876, 32, 200, 7.97577e-03, 1, 1
10877, 32,   0, 8.04613e-03, 1, 1
10878, 44, 200, 8.01657e-03, 1, 1
10879, 44,   0, 8.44006e-03, 1, 1
