Run,LasTune,VBias,Buffered,Amplitude,Mean,Sigma,EarlyPeak,LatePeak
10928,85.0,200,1,5.24397e+01,6.29933e+01,1.80540e-02,1,1
10929,85.0,200,0,3.49404e+00,6.29534e+01,1.70920e-02,1,1
10930,84.5,200,1,7.92546e+01,6.30043e+01,1.24405e-02,1,2
10931,84.5,200,0,3.67689e+00,6.29505e+01,1.13988e-02,1,1
10932,84.0,200,1,1.11572e+02,6.30360e+01,1.48419e-02,1,1
10933,84.0,200,0,4.29293e+00,6.29574e+01,8.93546e-03,1,1
10934,83.5,200,1,1.46887e+02,6.31093e+01,3.48644e-02,0,1
10935,83.5,200,0,5.19077e+00,6.29942e+01,2.26655e-02,1,1
10936,83.0,200,1,1.82817e+02,6.32871e+01,6.02635e-02,0,0
10937,83.0,200,0,6.13623e+00,6.31631e+01,6.54374e-02,0,0
10938,82.5,200,1,2.30597e+02,6.36736e+01,1.03773e-01,0,0
10939,82.5,200,0,7.19996e+00,6.34898e+01,5.57251e-02,0,1
10940,82.0,200,1,2.88653e+02,6.39871e+01,2.44625e-02,1,1
10941,82.0,200,0,8.45466e+00,6.35311e+01,1.78097e-02,1,1
10942,81.5,200,1,3.18929e+02,6.39655e+01,2.22991e-02,1,1
10943,81.5,200,0,9.06638e+00,6.35033e+01,1.72726e-02,1,1
10944,81.0,200,1,3.34330e+02,6.39431e+01,1.97811e-02,1,1
10945,81.0,200,0,9.39914e+00,6.34742e+01,1.46372e-02,1,1
10946,80.5,200,1,3.44287e+02,6.39285e+01,1.95531e-02,1,1
10947,80.5,200,0,9.64577e+00,6.34536e+01,1.47087e-02,1,1
10948,80.0,200,1,3.50691e+02,6.39135e+01,2.16823e-02,1,1
10949,80.0,200,0,9.83336e+00,6.34360e+01,1.44857e-02,1,1
