Run,EffCap,Vbias,Switch,Amplitude,Mean,Sigma,EarlyPulse,LatePulse
10888, 5,200,1,2.49079e+01, 1.04559e+01, 4.34740e-02, 0,0
10889, 5,200,0,3.49917e+00, 1.04583e+01, 4.24657e-02, 0,0
10920, 5,  0,0,3.50560e+00, 1.04114e+01, 5.30459e-02, 0,0
10891, 5,  0,1,2.21463e+01, 1.04146e+01, 5.48106e-02, 0,0
10892, 7,200,1,3.02844e+01, 1.04918e+01, 3.17726e-02, 0,1
10893, 7,200,0,3.50649e+00, 1.04716e+01, 3.15109e-02, 0,1
10894, 7,  0,0,3.53479e+00, 1.04143e+01, 4.80745e-02, 0,0
10895, 7,  0,1,2.66126e+01, 1.04430e+01, 4.32331e-02, 0,0
10896,12,  0,1,5.16817e+01, 1.04489e+01, 1.90314e-02, 1,1
10897,12,  0,0,3.50501e+00, 1.04067e+01, 1.84340e-02, 1,1
10898,12,200,0,3.49085e+00, 1.04336e+01, 1.63952e-02, 1,1
10899,12,200,1,6.13444e+01, 1.04746e+01, 1.52372e-02, 1,1
10900,17,200,1,8.16953e+01, 1.04888e+01, 1.23276e-02, 1,1
10901,17,200,0,3.70826e+00, 1.04330e+01, 1.19693e-02, 1,2
10902,17,  0,0,3.55319e+00, 1.03958e+01, 1.72137e-02, 1,2
10903,17,  0,1,6.89681e+01, 1.04524e+01, 1.53859e-02, 1,2
10904,20,200,1,1.16344e+02, 1.05363e+01, 9.69489e-03, 1,2
10905,20,200,0,4.39309e+00, 1.04596e+01, 8.78627e-03, 1,2
10906,20,  0,0,4.02912e+00, 1.04218e+01, 1.10721e-02, 1,2
10907,20,  0,1,9.94673e+01, 1.04891e+01, 1.07479e-02, 1,2
10908,27,200,1,1.40970e+02, 1.05966e+01, 8.89564e-03, 1,2
10909,27,200,0,5.03183e+00, 1.04923e+01, 8.62515e-03, 1,2
10910,27,  0,0,4.56181e+00, 1.04440e+01, 9.78281e-03, 1,2
10911,27,  0,1,1.21579e+02, 1.05266e+01, 1.00112e-02, 1,2
10912,32,200,1,1.69465e+02, 1.07059e+01, 9.10319e-03, 1,2
10913,32,200,0,5.81482e+00, 1.05645e+01, 7.88110e-03, 1,2
10914,32,  0,0,5.28037e+00, 1.04752e+01, 8.85497e-03, 1,2
10915,32,  0,1,1.48340e+02, 1.05912e+01, 8.94237e-03, 1,2
10916,44,200,1,2.02806e+02, 1.09017e+01, 9.47212e-03, 1,2
10917,44,200,0,6.79960e+00, 1.07525e+01, 9.56410e-03, 1,2
10918,44,  0,0,6.14178e+00, 1.05521e+01, 8.43148e-03, 1,2
10919,44,  0,1,1.76667e+02, 1.06866e+01, 8.76912e-03, 1,2
