Run,LasTune,VBias,Buffered,Amplitude,Mean,Sigma,EarlyPeak,LatePeak
10951,89.0,200,1,9.37995e+00,6.38989e+01,5.50723e-01,0,0
10952,89.0,200,0,3.32211e+00,6.38025e+01,4.68768e-01,0,0
10953,88.5,200,1,9.89469e+00,6.37547e+01,3.59544e-01,0,0
10954,88.5,200,0,3.35110e+00,6.36815e+01,3.52126e-01,0,0
10955,88.0,200,1,1.09403e+01,6.33737e+01,2.02585e-01,0,0
10956,88.0,200,0,3.38693e+00,6.32706e+01,1.51553e-01,0,0
10957,87.5,200,1,1.25196e+01,6.31519e+01,1.36955e-01,0,0
10958,87.5,200,0,3.42681e+00,6.31325e+01,1.32404e-01,0,0
10959,87.0,200,1,1.47767e+01,6.29993e+01,1.01889e-01,0,0
10960,87.0,200,0,3.47754e+00,6.29884e+01,9.86777e-02,0,0
10961,86.5,200,1,1.73537e+01,6.29350e+01,8.60650e-02,0,0
10962,86.5,200,0,3.50300e+00,6.29338e+01,8.04721e-02,0,0
10963,86.0,200,1,2.06841e+01,6.29950e+01,5.71959e-02,0,0
10964,86.0,200,0,3.52458e+00,6.29870e+01,5.46207e-02,0,1
10965,85.5,200,1,2.69678e+01,6.30136e+01,3.48877e-02,0,1
10966,85.5,200,0,3.54897e+00,6.29936e+01,3.53569e-02,0,1
10967,85.0,200,1,3.93431e+01,6.30151e+01,2.34752e-02,0.1
10968,85.0,200,0,3.55023e+00,6.29831e+01,2.32852e-02,1,1
10969,84.8,200,1,4.63593e+01,6.30163e+01,1.91692e-02,1,1
10970,84.8,200,0,3.52655e+00,6.29794e+01,1.92415e-02,1,1
10971,84.6,200,1,5.39948e+01,6.30180e+01,1.66150e-02,1,1
10972,84.6,200,0,3.51368e+00,6.29771e+01,1.65539e-02,1,1
10973,84.4,200,1,6.26866e+01,6.30212e+01,1.42315e-02,1,1
10974,84.4,200,0,3.53082e+00,6.29749e+01,1.35003e-02,1,1
10975,84.2,200,1,7.36336e+01,6.30245e+01,1.22882e-02,1,1
10976,84.2,200,0,3.61392e+00,6.29728e+01,1.20154e-02,1,1
10977,84.0,200,1,8.46625e+01,6.30314e+01,1.19654e-02,1,1
10978,84.0,200,0,3.75599e+00,6.29739e+01,1.05902e-02,1,1
10979,83.8,200,1,9.62906e+01,6.30428e+01,1.27018e-02,1,1
10980,83.8,200,0,3.96788e+00,6.29780e+01,9.52716e-03,1,1
10981,83.6,200,1,1.07948e+02,6.30577e+01,1.38447e-02,1,1
10982,83.6,200,0,4.19613e+00,6.29828e+01,8.89389e-03,1,2
