Run,LasTune,VBias,Buffered,Amplitude,Mean,Sigma,EarlyPeak,LatePeak
11025,83.8, 50,1,2.35653e+01,6.32850e+01,1.06836e-01,0,0
11026,83.8, 50,0,3.60736e+00,6.32702e+01,1.05674e-01,0,0
11027,83.8, 60,1,2.92365e+01,6.31050e+01,1.61694e-01,0,0
11028,83.8, 60,0,3.62707e+00,6.31349e+01,1.57218e-01,0,0
11029,83.8, 70,1,2.95496e+01,6.31970e+01,7.08681e-02,0,0
11030,83.8, 70,0,3.61328e+00,6.32068e+01,6.28877e-02,0,0
11031,83.8, 80,1,3.08035e+01,6.31488e+01,5.08915e-02,0,1
11032,83.8, 80,0,3.60497e+00,6.31396e+01,4.72076e-02,0,1
11033,83.8, 90,1,3.29795e+01,6.30940e+01,4.07133e-02,0,1
11034,83.8, 90,0,3.60365e+00,6.30767e+01,4.37108e-02,0,1
11035,83.8,100,1,3.54891e+01,6.30476e+01,3.46850e-02,0,1
11036,83.8,100,0,3.60283e+00,6.30238e+01,3.39089e-02,0,1
11037,83.8,110,1,3.89211e+01,6.30163e+01,3.04045e-02,0,1
11038,83.8,110,0,3.61996e+00,6.29920e+01,3.24636e-02,0,1
11039,83.8,120,1,4.36277e+01,6.29939e+01,2.86749e-02,0,1
11040,83.8,120,0,3.60375e+00,6.29675e+01,2.06083e-02,0,1
11041,83.8,130,1,5.07261e+01,6.29804e+01,1.79652e-02,0,1
11042,83.8,130,0,3.54738e+00,6.29435e+01,1.95106e-02,1,1
11043,83.8,140,1,6.07207e+01,6.29661e+01,1.53756e-02,1,1
11044,83.8,140,0,3.56900e+00,6.29267e+01,1.79456e-02,1,1
11045,83.8,145,1,6.73656e+01,6.29629e+01,1.40645e-02,1,1
11046,83.8,145,0,3.58391e+00,6.29215e+01,1.62385e-02,1,1
11047,83.8,150,1,7.52780e+01,6.29626e+01,1.32300e-02,1,1
11048,83.8,150,0,3.66838e+00,6.29166e+01,1.35519e-02,1,1
11049,83.8,155,1,8.60863e+01,6.29660e+01,1.28243e-02,1,1
11050,83.8,155,0,3.87041e+00,6.29141e+01,1.16627e-02,1,1
11051,83.8,160,1,9.96769e+01,6.29755e+01,1.30514e-02,1,1
11052,83.8,160,0,4.08214e+00,6.29141e+01,1.06945e-02,1,1
11053,83.8,165,1,1.17881e+02,6.29963e+01,2.16355e-02,1,1
11054,83.8,165,0,4.48629e+00,6.29192e+01,1.05498e-02,1,1
11055,83.8,170,1,1.40460e+02,6.30408e+01,3.73252e-02,1,1
11056,83.8,170,0,5.04834e+00,6.29414e+01,1.95403e-02,1,1
11058,83.8,175,0,5.93066e+00,6.30476e+01,6.03677e-02,0,0
