Run,LasTune,VBias,Buffered,Amplitude,Mean,Sigma,EarlyPeak,LatePeak
10928,85.0,200,1,5.24397e+01,6.29933e+01,1.80540e-02,1,1
10929,85.0,200,0,3.49404e+00,6.29534e+01,1.70920e-02,1,1
10930,84.5,200,1,7.92546e+01,6.30043e+01,1.24405e-02,1,2
10931,84.5,200,0,3.67689e+00,6.29505e+01,1.13988e-02,1,1
10932,84.0,200,1,1.11572e+02,6.30360e+01,1.48419e-02,1,1
10933,84.0,200,0,4.29293e+00,6.29574e+01,8.93546e-03,1,1
10934,83.5,200,1,1.46887e+02,6.31093e+01,3.48644e-02,0,1
10935,83.5,200,0,5.19077e+00,6.29942e+01,2.26655e-02,1,1
10936,83.0,200,1,1.82817e+02,6.32871e+01,6.02635e-02,0,0
10937,83.0,200,0,6.13623e+00,6.31631e+01,6.54374e-02,0,0
10938,82.5,200,1,2.30597e+02,6.36736e+01,1.03773e-01,0,0
10939,82.5,200,0,7.19996e+00,6.34898e+01,5.57251e-02,0,1
10940,82.0,200,1,2.88653e+02,6.39871e+01,2.44625e-02,1,1
10941,82.0,200,0,8.45466e+00,6.35311e+01,1.78097e-02,1,1
10942,81.5,200,1,3.18929e+02,6.39655e+01,2.22991e-02,1,1
10943,81.5,200,0,9.06638e+00,6.35033e+01,1.72726e-02,1,1
10944,81.0,200,1,3.34330e+02,6.39431e+01,1.97811e-02,1,1
10945,81.0,200,0,9.39914e+00,6.34742e+01,1.46372e-02,1,1
10946,80.5,200,1,3.44287e+02,6.39285e+01,1.95531e-02,1,1
10947,80.5,200,0,9.64577e+00,6.34536e+01,1.47087e-02,1,1
10948,80.0,200,1,3.50691e+02,6.39135e+01,2.16823e-02,1,1
10949,80.0,200,0,9.83336e+00,6.34360e+01,1.44857e-02,1,1
10951,89.0,200,1,9.37995e+00,6.38989e+01,5.50723e-01,0,0
10952,89.0,200,0,3.32211e+00,6.38025e+01,4.68768e-01,0,0
10953,88.5,200,1,9.89469e+00,6.37547e+01,3.59544e-01,0,0
10954,88.5,200,0,3.35110e+00,6.36815e+01,3.52126e-01,0,0
10955,88.0,200,1,1.09403e+01,6.33737e+01,2.02585e-01,0,0
10956,88.0,200,0,3.38693e+00,6.32706e+01,1.51553e-01,0,0
10957,87.5,200,1,1.25196e+01,6.31519e+01,1.36955e-01,0,0
10958,87.5,200,0,3.42681e+00,6.31325e+01,1.32404e-01,0,0
10959,87.0,200,1,1.47767e+01,6.29993e+01,1.01889e-01,0,0
10960,87.0,200,0,3.47754e+00,6.29884e+01,9.86777e-02,0,0
10961,86.5,200,1,1.73537e+01,6.29350e+01,8.60650e-02,0,0
10962,86.5,200,0,3.50300e+00,6.29338e+01,8.04721e-02,0,0
10963,86.0,200,1,2.06841e+01,6.29950e+01,5.71959e-02,0,0
10964,86.0,200,0,3.52458e+00,6.29870e+01,5.46207e-02,0,1
10965,85.5,200,1,2.69678e+01,6.30136e+01,3.48877e-02,0,1
10966,85.5,200,0,3.54897e+00,6.29936e+01,3.53569e-02,0,1
10967,85.0,200,1,3.93431e+01,6.30151e+01,2.34752e-02,0.1
10968,85.0,200,0,3.55023e+00,6.29831e+01,2.32852e-02,1,1
10969,84.8,200,1,4.63593e+01,6.30163e+01,1.91692e-02,1,1
10970,84.8,200,0,3.52655e+00,6.29794e+01,1.92415e-02,1,1
10971,84.6,200,1,5.39948e+01,6.30180e+01,1.66150e-02,1,1
10972,84.6,200,0,3.51368e+00,6.29771e+01,1.65539e-02,1,1
10973,84.4,200,1,6.26866e+01,6.30212e+01,1.42315e-02,1,1
10974,84.4,200,0,3.53082e+00,6.29749e+01,1.35003e-02,1,1
10975,84.2,200,1,7.36336e+01,6.30245e+01,1.22882e-02,1,1
10976,84.2,200,0,3.61392e+00,6.29728e+01,1.20154e-02,1,1
10977,84.0,200,1,8.46625e+01,6.30314e+01,1.19654e-02,1,1
10978,84.0,200,0,3.75599e+00,6.29739e+01,1.05902e-02,1,1
10979,83.8,200,1,9.62906e+01,6.30428e+01,1.27018e-02,1,1
10980,83.8,200,0,3.96788e+00,6.29780e+01,9.52716e-03,1,1
10981,83.6,200,1,1.07948e+02,6.30577e+01,1.38447e-02,1,1
10982,83.6,200,0,4.19613e+00,6.29828e+01,8.89389e-03,1,2
